video_id,channel_id,channel_name,tier,title,published_at,duration_sec,view_count,like_count,comment_count,comments_disabled,engagement_rate,duration_min,duration_bucket,publish_year,publish_month,days_since_publish,views_per_day,subscriber_count,total_view_count,channel_created_at
DIEYAEouyoE,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Narrative Telephone: Dark Caves and Demon Spawn,2025-09-17 19:00:20+00:00,4126,77346,3877,276,False,0.0536937915341452,68.8,60_to_120,2025,2025-09,200,386.73,2810000,1302841102,2018-05-23 17:03:19+00:00
zkZxUQc5xOI,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Nice | Critical Role Abridged | Campaign 3, Episode 69",2025-09-16 17:01:31+00:00,4465,22251,516,55,False,0.0256617680104264,74.4,60_to_120,2025,2025-09,201,110.7,2810000,1302841102,2018-05-23 17:03:19+00:00
giqrfQrfI8s,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Oaths & Ash | Critical Role | Indianapolis Live Show 2025,2025-09-15 19:00:43+00:00,16790,312541,8173,605,False,0.0280859151279352,279.8,180_plus,2025,2025-09,202,1547.23,2810000,1302841102,2018-05-23 17:03:19+00:00
U6zSu_UxhUA,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Travis Willingham Builds Chetney Pock O'Pea in Daggerheart,2025-09-09 19:00:33+00:00,1157,123909,7058,317,False,0.0595194860744578,19.3,under_60,2025,2025-09,208,595.72,2810000,1302841102,2018-05-23 17:03:19+00:00
CMSQinhcnl0,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"For the Tempest | Critical Role Abridged | Campaign 3, Episode 68",2025-09-09 17:00:15+00:00,4171,18058,476,14,False,0.0271347879056373,69.5,60_to_120,2025,2025-09,208,86.82,2810000,1302841102,2018-05-23 17:03:19+00:00
OoC3jC5q8mk,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Robbie Daymond builds Dorian in Daggerheart,2025-09-02 19:00:21+00:00,1139,108595,7116,292,False,0.0682167687278419,19.0,under_60,2025,2025-09,215,505.09,2810000,1302841102,2018-05-23 17:03:19+00:00
PciZllZhkXI,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Ashley Johnson builds Fearne Calloway in Daggerheart,2025-08-26 19:00:31+00:00,1002,190781,10205,453,False,0.0558651018707313,16.7,under_60,2025,2025-08,222,859.37,2810000,1302841102,2018-05-23 17:03:19+00:00
dKqu0N49WWQ,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Bloody Flowers | Critical Role Abridged | Campaign 3, Episode 67",2025-08-26 17:00:48+00:00,4084,21202,528,21,False,0.0258937836053202,68.1,60_to_120,2025,2025-08,222,95.5,2810000,1302841102,2018-05-23 17:03:19+00:00
zR91U4WKw0c,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Fireside Chat LIVE With Matthew Mercer & Brennan Lee Mulligan,2025-08-22 03:13:17+00:00,4661,645981,30214,1938,False,0.0497723617258092,77.7,60_to_120,2025,2025-08,226,2858.32,2810000,1302841102,2018-05-23 17:03:19+00:00
nY1JaWT-CKo,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,What Is Campaign Four?,2025-08-21 17:00:03+00:00,1010,1279710,95643,6272,False,0.0796391369919747,16.8,under_60,2025,2025-08,227,5637.49,2810000,1302841102,2018-05-23 17:03:19+00:00
DWZmaA8AjMA,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Aid of the Tempest | Critical Role Abridged | Campaign 3, Episode 66",2025-08-19 17:00:16+00:00,4091,22277,507,21,False,0.0237015756161062,68.2,60_to_120,2025,2025-08,229,97.28,2810000,1302841102,2018-05-23 17:03:19+00:00
CusjN8Knyqk,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"A Path of Vengeance  | Critical Role Abridged | Campaign 3, Episode 65",2025-08-12 17:00:13+00:00,3975,23922,578,27,False,0.0252905275478638,66.2,60_to_120,2025,2025-08,236,101.36,2810000,1302841102,2018-05-23 17:03:19+00:00
jE4BT-H9oIw,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Tag Team At The Teeth: Beyond The Shroud | Critical Role | Melbourne Live Show 2025,2025-08-11 19:00:49+00:00,16075,302194,8088,564,False,0.028630614770644,267.9,180_plus,2025,2025-08,237,1275.08,2810000,1302841102,2018-05-23 17:03:19+00:00
-1voxp0jJ9w,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,San Diego Comic-Con 2025 | Critical Role: 10 Years and Still Rolling,2025-08-07 18:04:37+00:00,3353,127708,5134,208,False,0.0418297992294922,55.9,under_60,2025,2025-08,241,529.91,2810000,1302841102,2018-05-23 17:03:19+00:00
zscAP2_F41M,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,"Reunited | Critical Role Abridged | Campaign 3, Episode 64",2025-08-05 17:01:27+00:00,4125,23885,557,22,False,0.0242411555369478,68.8,60_to_120,2025,2025-08,243,98.29,2810000,1302841102,2018-05-23 17:03:19+00:00
GHslzYgwjjQ,UCpXBGqwsBkpvcYjsJBQ7LEQ,Critical Role,large,Tag Team At The Teeth: The Misty Ascent | Critical Role | Sydney Live Show 2025,2025-08-04 19:00:12+00:00,15440,394402,10336,804,False,0.0282452928737683,257.3,180_plus,2025,2025-08,244,1616.4,2810000,1302841102,2018-05-23 17:03:19+00:00
